Name,Distance,Width,Selection#,Time
Andy,256,16,1,1582.9963684082031
Andy,256,16,2,1030.7283401489258
Andy,256,16,3,1094.545602798462
Andy,256,16,4,847.618579864502
Andy,256,16,5,1062.7450942993164
Andy,256,16,6,1103.0809879302979
Andy,256,16,7,1278.7177562713623
Andy,256,16,8,1096.069097518921
Andy,128,16,1,1127.5684833526611
Andy,128,16,2,1023.3590602874756
Andy,128,16,3,1030.9476852416992
Andy,128,16,4,918.9698696136475
Andy,128,16,5,830.6295871734619
Andy,128,16,6,1071.2709426879883
Andy,128,16,7,854.6140193939209
Andy,128,16,8,1047.3592281341553
Andy,128,32,1,670.8774566650391
Andy,128,32,2,791.7513847351074
Andy,128,32,3,863.1129264831543
Andy,128,32,4,734.6932888031006
Andy,128,32,5,807.7399730682373
Andy,128,32,6,1094.9971675872803
Andy,128,32,7,839.1356468200684
Andy,128,32,8,735.100507736206
Andy,512,32,1,999.0329742431641
Andy,512,32,2,1078.826665878296
Andy,512,32,3,927.4733066558838
Andy,512,32,4,1134.828805923462
Andy,512,32,5,951.5612125396729
Andy,512,32,6,1054.7327995300293
Andy,512,32,7,1055.3953647613525
Andy,512,32,8,1254.831075668335
Andy,64,8,1,1367.3348426818848
Andy,64,8,2,1159.0158939361572
Andy,64,8,3,1223.0684757232666
Andy,64,8,4,1070.7299709320068
Andy,64,8,5,1095.8006381988525
Andy,64,8,6,1303.3411502838135
Andy,64,8,7,1056.0503005981445
Andy,64,8,8,1015.9180164337158
Andy,512,8,1,1694.533348083496
Andy,512,8,2,1295.7534790039062
Andy,512,8,3,2014.5046710968018
Andy,512,8,4,1990.818738937378
Andy,512,8,5,1175.4398345947266
Andy,512,8,6,1351.6993522644043
Andy,512,8,7,1487.5919818878174
Andy,512,8,8,1222.5205898284912
Andy,256,32,1,799.1595268249512
Andy,256,32,2,974.8494625091553
Andy,256,32,3,815.3634071350098
Andy,256,32,4,1207.1821689605713
Andy,256,32,5,887.0139122009277
Andy,256,32,6,1174.9157905578613
Andy,256,32,7,775.0110626220703
Andy,256,32,8,1271.2421417236328
Andy,512,16,1,1023.0622291564941
Andy,512,16,2,1239.31884765625
Andy,512,16,3,1726.5620231628418
Andy,512,16,4,1215.5723571777344
Andy,512,16,5,1566.7495727539062
Andy,512,16,6,1176.10764503479
Andy,512,16,7,1479.2652130126953
Andy,512,16,8,1182.5251579284668
Andy,256,8,1,1279.8125743865967
Andy,256,8,2,1486.8416786193848
Andy,256,8,3,3415.191173553467
Andy,256,8,4,1399.5342254638672
Andy,256,8,5,999.5114803314209
Andy,256,8,6,943.6025619506836
Andy,256,8,7,1383.5344314575195
Andy,256,8,8,1111.5918159484863
Andy,64,16,1,1048.189401626587
Andy,64,16,2,943.6850547790527
Andy,64,16,3,927.4313449859619
Andy,64,16,4,911.6027355194092
Andy,64,16,5,839.7974967956543
Andy,64,16,6,918.7905788421631
Andy,64,16,7,719.5780277252197
Andy,64,16,8,863.4459972381592
Andy,128,8,1,1191.587209701538
Andy,128,8,2,999.1738796234131
Andy,128,8,3,1103.379726409912
Andy,128,8,4,1302.8435707092285
Andy,128,8,5,1063.2259845733643
Andy,128,8,6,1366.9486045837402
Andy,128,8,7,1014.9211883544922
Andy,128,8,8,1342.789649963379
Andy,64,32,1,727.2124290466309
Andy,64,32,2,687.2172355651855
Andy,64,32,3,631.1781406402588
Andy,64,32,4,646.9576358795166
Andy,64,32,5,655.5120944976807
Andy,64,32,6,694.8976516723633
Andy,64,32,7,679.2802810668945
Andy,64,32,8,791.2993431091309
